State,Year,Quarter,Renewable,Non-Renewable,Others
HARYANA,2021,3,4600.83,155687.51,1703.71
HARYANA,2021,4,4477.9,144542.87999999998,2444.2
HARYANA,2022,1,5033.799999999999,180726.69,3722.51
HARYANA,2022,2,5280.83,227590.84,3614.97
HARYANA,2022,3,6356.6900000000005,250195.03,2357.11
HARYANA,2022,4,5786.7,214232.06,5877.9
HARYANA,2023,1,4276.62,203096.28,7092.89
HARYANA,2023,2,5221.67,191342.84999999998,5622.44
HARYANA,2023,3,2552.87,101709.61,2595.86
HIMACHAL PRADESH,2020,2,40916.68,0.0,40943.35
HIMACHAL PRADESH,2020,3,67518.72,0.0,50327.49
HIMACHAL PRADESH,2020,4,20082.08,0.0,15099.58
HIMACHAL PRADESH,2021,1,10674.119999999999,0.0,9266.64
HIMACHAL PRADESH,2021,2,40100.799999999996,0.0,35089.590000000004
HIMACHAL PRADESH,2021,3,86316.23,0.0,52414.57
HIMACHAL PRADESH,2021,4,27517.47,0.0,21495.85
HIMACHAL PRADESH,2022,1,18265.41,0.0,18236.22
HIMACHAL PRADESH,2022,2,54044.18,0.0,29592.12
HIMACHAL PRADESH,2022,3,105314.58,0.0,34399.56
HIMACHAL PRADESH,2022,4,49105.78,0.0,0.0
HIMACHAL PRADESH,2023,1,26298.75,0.0,0.0
HIMACHAL PRADESH,2023,2,85392.45,0.0,0.0
HIMACHAL PRADESH,2023,3,69416.54,0.0,0.0
J&K(UT) & Ladakh(UT),2020,2,69153.73,0.0,0.0
J&K(UT) & Ladakh(UT),2020,3,80001.24,190.0,487.92
J&K(UT) & Ladakh(UT),2020,4,28559.17,0.0,181.25
J&K(UT) & Ladakh(UT),2021,1,22767.51,0.0,260.42
J&K(UT) & Ladakh(UT),2021,2,67704.16,0.0,0.0
J&K(UT) & Ladakh(UT),2021,3,91393.36,0.0,0.0
J&K(UT) & Ladakh(UT),2021,4,29427.53,0.0,244.59
J&K(UT) & Ladakh(UT),2022,1,24594.59,0.0,0.0
J&K(UT) & Ladakh(UT),2022,2,66640.84,0.0,0.0
J&K(UT) & Ladakh(UT),2022,3,91038.76,0.0,0.0
J&K(UT) & Ladakh(UT),2022,4,23789.22,204.16,0.0
J&K(UT) & Ladakh(UT),2023,1,22825.8,0.0,0.0
J&K(UT) & Ladakh(UT),2023,2,52951.24,0.0,0.0
J&K(UT) & Ladakh(UT),2023,3,50710.83,0.0,0.0
JHARKHAND,2020,2,12.09,23846.7,4754.18
JHARKHAND,2020,3,1842.91,22992.95,5717.93
JHARKHAND,2020,4,313.31,21880.39,5378.34
JHARKHAND,2021,1,0.0,23538.33,6316.63
JHARKHAND,2021,2,1001.67,15501.22,6573.34
JHARKHAND,2021,3,7685.02,13522.87,5117.46
JHARKHAND,2021,4,2467.09,11171.68,3345.46
JHARKHAND,2022,1,812.1,27075.01,3914.98
JHARKHAND,2022,2,145.01,26852.88,5116.23
JHARKHAND,2022,3,3630.0,27187.9,4109.58
JHARKHAND,2022,4,3017.1,27536.24,4407.91
JHARKHAND,2023,1,418.75,24860.38,4603.36
JHARKHAND,2023,2,281.65,23646.65,4558.36
JHARKHAND,2023,3,2.5,7411.2,1522.92
KARNATAKA,2020,2,350491.61,130964.63,8208.75
KARNATAKA,2020,3,331310.78,32952.92,37500.4
KARNATAKA,2020,4,271892.07,117115.39,55392.08
KARNATAKA,2021,1,278587.49,225852.56,46467.92
KARNATAKA,2021,2,319731.70999999996,187084.57,17084.55
KARNATAKA,2021,3,372538.69999999995,193869.99,39397.47
KARNATAKA,2021,4,258229.24000000002,196837.16,54877.51
KARNATAKA,2022,1,317182.9,227377.9,53628.77
KARNATAKA,2022,2,322676.29000000004,270835.42,77407.94
KARNATAKA,2022,3,368338.31,103774.61,120978.68
KARNATAKA,2022,4,268986.63,153150.47,57447.07
KARNATAKA,2023,1,301007.10000000003,281136.69,45419.16
KARNATAKA,2023,2,300020.0,292550.02,26027.46
KARNATAKA,2023,3,27641.67,21409.16,1892.09
KERALA,2020,2,75545.84999999999,0.0,410.28
KERALA,2020,3,75324.98999999999,0.0,504.4
KERALA,2020,4,75739.56,2.82,481.55
KERALA,2021,1,82286.22999999998,104.65,456.49
KERALA,2021,2,93778.74,0.0,484.38
KERALA,2021,3,119613.78000000001,0.0,511.48
KERALA,2021,4,129734.98,0.0,524.36
KERALA,2022,1,89926.31999999999,0.0,506.43
KERALA,2022,2,90193.79999999999,0.13,417.8
KERALA,2022,3,145514.71,0.0,475.41
KERALA,2022,4,87311.72,0.0,502.03
KERALA,2023,1,67862.05999999998,0.0,659.18
KERALA,2023,2,79793.34,0.0,855.05
KERALA,2023,3,37968.399999999994,0.0,529.93
MADHYA PRADESH,2020,2,147133.31,167733.35,512.53
MADHYA PRADESH,2020,3,159929.19,187591.69,1250.0
MADHYA PRADESH,2020,4,121700.08,272637.49,2620.79
MADHYA PRADESH,2021,1,122858.34999999999,289737.48,3695.86
MADHYA PRADESH,2021,2,140612.51,211870.84,612.44
MADHYA PRADESH,2021,3,125120.92000000001,200162.51,1174.93
MADHYA PRADESH,2021,4,106112.52,237758.3,2700.06
MADHYA PRADESH,2022,1,112354.14000000001,304816.7,4583.33
MADHYA PRADESH,2022,2,136704.18,335087.52,1879.15
MADHYA PRADESH,2022,3,185429.16000000003,261558.33,2745.85
MADHYA PRADESH,2022,4,131125.03,311024.99,4316.68
MADHYA PRADESH,2023,1,120920.82,330466.73,6391.63
MADHYA PRADESH,2023,2,97012.45,311266.66,3904.22
MADHYA PRADESH,2023,3,24099.96,94599.95,874.98
MAHARASHTRA,2020,2,174441.6,733904.2,0.0
MAHARASHTRA,2020,3,166125.03999999998,729333.34,0.0
MAHARASHTRA,2020,4,106137.53,1023625.01,0.0
MAHARASHTRA,2021,1,129479.20999999999,1143462.48,0.0
MAHARASHTRA,2021,2,195379.15,997204.18,0.0
MAHARASHTRA,2021,3,211608.27999999997,947854.16,0.0
MAHARASHTRA,2021,4,124800.08,1080341.66,0.0
MAHARASHTRA,2022,1,151591.64,1253308.31,0.0
MAHARASHTRA,2022,2,223254.19999999998,1266787.5,0.0
MAHARASHTRA,2022,3,222683.29,898145.86,0.0
MAHARASHTRA,2022,4,132054.19,1133304.17,0.0
MAHARASHTRA,2023,1,152562.52,1236645.85,0.0
MAHARASHTRA,2023,2,228058.26,1107183.34,0.0
MAHARASHTRA,2023,3,66012.38,267991.69,0.0
ODISHA,2020,2,79530.4,150575.81,43021.25
ODISHA,2020,3,96622.09000000001,141133.33,56637.48
ODISHA,2020,4,66490.01,131518.33,68176.65
ODISHA,2021,1,55159.04,149985.41,61776.68
ODISHA,2021,2,54417.850000000006,114667.13,75418.3
ODISHA,2021,3,77889.59999999999,134770.8,71621.67
ODISHA,2021,4,44461.630000000005,81206.66,37544.56
ODISHA,2022,1,43731.27,121022.53,63285.02
ODISHA,2022,2,47347.43,147814.17,58094.99
ODISHA,2022,3,90458.81000000001,139078.71,43543.37
ODISHA,2022,4,66085.04000000001,157189.13,54597.07
ODISHA,2023,1,48394.58,157547.93,74550.85
ODISHA,2023,2,52244.93,164348.8,48788.32
ODISHA,2023,3,21789.1,53042.96,11055.48
PONDICHERRY,2020,2,0.0,0.0,0.0
PONDICHERRY,2020,3,0.0,0.0,0.0
PONDICHERRY,2020,4,0.0,0.0,0.0
PONDICHERRY,2021,1,0.0,0.0,0.0
PONDICHERRY,2021,2,0.0,0.0,0.0
PONDICHERRY,2021,3,0.0,0.0,0.0
PONDICHERRY,2021,4,0.68,0.0,0.0
PONDICHERRY,2022,1,4.4,0.0,0.0
PONDICHERRY,2022,2,5.5200000000000005,12.51,0.0
PONDICHERRY,2022,3,5.67,53.79,0.0
PONDICHERRY,2022,4,3.59,57.39,0.0
PONDICHERRY,2023,1,4.07,53.07,0.0
PONDICHERRY,2023,2,13.17,202.01,0.0
PONDICHERRY,2023,3,72.99,1408.33,0.0
PUNJAB,2020,2,81715.44,83994.59,12465.54
PUNJAB,2020,3,83937.88,286985.79,10601.46
PUNJAB,2020,4,55729.1,100609.22,6853.23
PUNJAB,2021,1,36167.47,215803.74,7999.02
PUNJAB,2021,2,48027.95,209482.52,11593.580000000002
PUNJAB,2021,3,73208.75,267016.63,10166.06
PUNJAB,2021,4,44036.25,193840.82,4762.35
PUNJAB,2022,1,36334.61,258222.04,9071.23
PUNJAB,2022,2,55760.840000000004,320347.51,13094.23
PUNJAB,2022,3,79204.15,309029.6,11129.44
PUNJAB,2022,4,55008.38,259232.08,10046.96
PUNJAB,2023,1,47960.01,297499.61,10042.69
PUNJAB,2023,2,57794.130000000005,311375.82,11198.13
PUNJAB,2023,3,46576.65,122980.42,6668.99
RAJASTHAN,2020,2,152419.61,347464.56,15409.94
RAJASTHAN,2020,3,128422.01,429074.6,2575.42
RAJASTHAN,2020,4,102577.17,497150.86,2569.16
RAJASTHAN,2021,1,113968.73999999999,515941.22000000003,5996.34
RAJASTHAN,2021,2,168050.37,418367.01999999996,16324.12
RAJASTHAN,2021,3,165717.06,451917.45999999996,16271.24
RAJASTHAN,2021,4,113109.96,515877.05,13347.49
RAJASTHAN,2022,1,133083.38,591544.1900000001,17422.53
RAJASTHAN,2022,2,200908.34999999998,546774.61,11954.97
RAJASTHAN,2022,3,153327.86,514827.92000000004,14882.49
RAJASTHAN,2022,4,123931.62,524449.96,2008.33
RAJASTHAN,2023,1,135604.57,547375.46,6152.9
RAJASTHAN,2023,2,172269.15,555527.88,16541.67
RAJASTHAN,2023,3,95858.08000000002,307200.34,3837.45
SIKKIM,2020,2,0.0,0.0,0.0
SIKKIM,2020,3,0.0,0.0,0.0
SIKKIM,2020,4,0.0,0.0,0.0
SIKKIM,2021,1,0.0,0.0,0.0
SIKKIM,2021,2,0.0,0.0,0.0
SIKKIM,2021,3,0.0,0.0,0.0
SIKKIM,2021,4,0.0,0.0,0.0
SIKKIM,2022,1,0.0,0.0,0.0
SIKKIM,2022,2,0.0,0.0,0.0
SIKKIM,2022,3,0.0,0.0,0.0
SIKKIM,2022,4,0.0,0.0,0.0
SIKKIM,2023,1,0.0,0.0,0.0
SIKKIM,2023,2,0.0,0.0,0.0
SIKKIM,2023,3,0.0,0.0,0.0
TAMILNADU,2020,2,220828.71,219886.23,27547.88
TAMILNADU,2020,3,343683.42000000004,202118.73,52894.15
TAMILNADU,2020,4,193610.49,147827.88,58076.26
TAMILNADU,2021,1,140001.71000000002,214267.05,75254.17
TAMILNADU,2021,2,248916.22,219645.03,57785.42
TAMILNADU,2021,3,380770.87,241578.74000000002,55737.88
TAMILNADU,2021,4,176074.16,257367.44,27718.34
TAMILNADU,2022,1,162585.85,261370.47,40401.27
TAMILNADU,2022,2,280979.19,290609.17,36299.16
TAMILNADU,2022,3,423057.05,250481.17,23045.01
TAMILNADU,2022,4,202659.53,253089.16,16734.62
TAMILNADU,2023,1,213622.95,281130.85000000003,29974.97
TAMILNADU,2023,2,276339.98,305938.33999999997,43482.53
TAMILNADU,2023,3,275112.9,157377.06000000003,13414.51
TELANGANA,2020,2,75684.59999999999,234884.17,4452.95
TELANGANA,2020,3,125608.31999999999,251992.57,5845.01
TELANGANA,2020,4,109545.85999999999,266947.45,7099.6
TELANGANA,2021,1,101791.66,337280.83,9656.26
TELANGANA,2021,2,86301.70999999999,321967.51,11408.37
TELANGANA,2021,3,177870.42,320334.61,15607.1
TELANGANA,2021,4,145459.18,321099.14,9640.85
TELANGANA,2022,1,93394.95,358795.86,13729.17
TELANGANA,2022,2,83976.22,348941.66,14917.49
TELANGANA,2022,3,186097.55,280882.46,8449.56
TELANGANA,2022,4,155154.13,345003.71,8328.33
TELANGANA,2023,1,97953.26999999999,369196.64,7667.9
TELANGANA,2023,2,85282.43000000001,356133.35,15297.93
TELANGANA,2023,3,44189.13,190357.53,6368.280000000001
UTTAR PRADESH,2020,2,68340.01,538217.49,34509.98
UTTAR PRADESH,2020,3,104185.38,720054.17,2540.0
UTTAR PRADESH,2020,4,50688.759999999995,607574.19,40468.33
UTTAR PRADESH,2021,1,45028.240000000005,642262.85,72600.0
UTTAR PRADESH,2021,2,73067.9,722314.56,23950.0
UTTAR PRADESH,2021,3,108473.33,778993.76,2275.0
UTTAR PRADESH,2021,4,71272.47,588189.57,31800.0
UTTAR PRADESH,2022,1,58909.94,692055.37,66250.0
UTTAR PRADESH,2022,2,82608.33,838383.35,27150.0
UTTAR PRADESH,2022,3,108644.11,854695.82,4550.0
UTTAR PRADESH,2022,4,64073.33,725079.94,31445.83
UTTAR PRADESH,2023,1,56639.649999999994,715232.08,63100.0
UTTAR PRADESH,2023,2,77453.76999999999,835226.64,23025.0
UTTAR PRADESH,2023,3,64195.87,487354.12,1300.0
UTTARAKHAND,2020,2,64645.01,0.0,1221.25
UTTARAKHAND,2020,3,76400.45,0.0,0.0
UTTARAKHAND,2020,4,37319.2,5222.1,1521.23
UTTARAKHAND,2021,1,29428.7,24101.68,2727.54
UTTARAKHAND,2021,2,51765.01,19222.1,481.25
UTTARAKHAND,2021,3,81417.91,21965.45,18.75
UTTARAKHAND,2021,4,50577.48,21.67,1731.26
UTTARAKHAND,2022,1,41862.5,0.0,2791.23
UTTARAKHAND,2022,2,62505.899999999994,0.0,919.16
UTTARAKHAND,2022,3,84861.69,0.0,0.0
UTTARAKHAND,2022,4,48489.98,0.0,1697.5
UTTARAKHAND,2023,1,33229.159999999996,0.0,2985.84
UTTARAKHAND,2023,2,58085.4,17684.16,1118.35
UTTARAKHAND,2023,3,44315.770000000004,562.52,0.0
WEST BENGAL,2020,2,39753.84,223572.5,65149.98
WEST BENGAL,2020,3,52985.03,288982.94,80863.77
WEST BENGAL,2020,4,41179.59,256730.38,73105.45
WEST BENGAL,2021,1,32737.9,342291.21,80527.91
WEST BENGAL,2021,2,41120.83,346017.53,79550.86
WEST BENGAL,2021,3,56344.55,313656.27,78367.1
WEST BENGAL,2021,4,27498.31,223702.5,50807.88
WEST BENGAL,2022,1,31344.53,359488.33,66581.66
WEST BENGAL,2022,2,46613.740000000005,339945.42,78726.25
WEST BENGAL,2022,3,58257.91,340504.18,75204.59
WEST BENGAL,2022,4,43236.28,368041.67,81230.83
WEST BENGAL,2023,1,29930.38,398834.18,73270.05
WEST BENGAL,2023,2,30627.039999999997,397098.7,53696.25
WEST BENGAL,2023,3,12703.68,109431.29,3070.84
